Area,Frontage,Access Road,Floors,Bedrooms,Bathrooms,Price,Year,Price_Lag_1
45.0,4.0,5.0,5.0,3.0,3.0,4.5,2024,3.5
52.0,4.5,8.0,4.0,4.0,3.0,7.2,2024,4.5
34.0,4.5,6.0,4.0,3.0,4.0,2.95,2024,7.2
112.5,5.0,7.5,3.0,5.0,3.0,4.9,2024,2.95
225.0,12.0,6.0,2.0,4.0,3.0,9.0,2024,4.9
34.0,4.25,3.0,3.0,3.0,3.0,2.1,2024,9.0
98.4,4.5,12.0,1.0,3.0,2.0,1.19,2024,2.1
20.0,3.6,15.0,4.0,3.0,3.0,3.6,2024,1.19
26.4,4.0,6.0,3.0,2.0,1.0,3.85,2024,3.6
75.0,5.0,7.5,4.0,3.0,3.0,4.35,2024,3.85
60.0,5.0,9.0,3.0,4.0,5.0,5.6,2024,4.35
51.0,4.2,12.0,2.0,3.0,4.0,6.0,2024,5.6
35.0,4.5,6.0,3.0,3.0,3.0,5.65,2024,6.0
34.0,8.1,6.0,5.0,4.0,4.0,8.0,2024,5.65
40.0,3.7,4.0,6.0,4.0,4.0,3.25,2024,8.0
55.0,4.5,6.0,6.0,8.0,6.0,7.6,2024,3.25
120.0,4.5,6.0,2.0,4.0,2.0,7.9,2024,7.6
56.0,4.5,13.0,5.0,3.0,3.0,7.6,2024,7.9
60.0,6.0,5.0,3.0,3.0,2.0,2.95,2024,7.6
60.0,4.5,6.0,4.0,4.0,4.0,6.5,2024,2.95
40.0,4.5,6.0,4.0,4.0,4.0,2.5,2024,6.5
100.0,4.5,20.0,3.0,4.0,3.0,5.5,2024,2.5
30.0,3.4,4.0,5.0,3.0,4.0,4.1,2024,5.5
11.0,3.0,6.0,3.0,2.0,2.0,1.85,2024,4.1
110.0,4.4,7.0,2.0,2.0,2.0,5.0,2024,1.85
135.0,4.5,6.0,3.0,3.0,3.0,7.55,2024,5.0
54.0,4.5,5.0,4.0,4.0,4.0,5.7,2024,7.55
40.0,4.5,6.0,4.0,4.0,4.0,1.95,2024,5.7
58.3,4.5,12.0,3.0,4.0,5.0,5.5,2024,1.95
53.0,3.6,5.0,4.0,3.0,4.0,6.5,2024,5.5
27.0,4.6,6.0,6.0,3.0,3.0,7.5,2024,6.5
